"Water System Name","CCR Website","Water System Website","Water System Alias","Population Served","Source Type","System Address","Contact Phone","Cities Served","Counties Served"
"SHERWOOD FOREST WATER SYSTEM","","","","610","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"SHERWOOD MHP","","","","353","Ground water","180 OLD SANDRIDGE RD
HUBERT, NC 28539","910-650-2301","",""
"SHERWOOD PARK S/D","","","","248","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"SHERWOOD PRESBYTERIAN CHURCH","","","","50","Ground water","4857 NC HWY 875
FAYETTEVILLE, NC 28306","","",""
"SHILOH ADVENT CHRISTIAN CHURCH","","","","200","Ground water","1908 HAIGLER BAUCOM ROAD
MONROE, NC 28110","","",""
"SHILOH BAPTIST CHURCH","","","","80","Ground water","PO BOX 175
KITTRELL, NC 27544","252-492-0567","",""
"SHILOH BAPTIST CHURCH","","","","25","Ground water","5549 HENDERSON RD
HAMPTONVILLE, NC 27020","","",""
"SHILOH BAPTIST CHURCH","","","","25","Ground water","7912 MANOR ROCK RD
C/O WATER SOLUTIONS LLC
SILER CITY, NC 27344","919-742-7410","",""
"SHILOH BAPTIST CHURCH","","","","75","Ground water","19685 US 421
WATHA, NC 28478","910-283-9676","",""
"SHILOH CHURCH ROAD S/D","","","","1,965","Surface water purchased","401 LAUREATE WAY
KANNAPOLIS, NC 28081","704-920-4231","",""
"SHILOH GENERAL STORE","","","","25","Ground water","5520 ST PAUL CHURCH RD
HAMPTONVILLE, NC 27020","336-468-4789","",""
"SHILOH MISSIONARY BAPTIST CH","","","","80","Ground water","108 QUEEN ANN AVE
NASHVILLE, NC 27856","","",""
"SHILOH PENTECOSTAL HOLINESS CH","","","","150","Ground water","6815 OLD SMITHFIELD ROAD
BAILEY, NC 27807","","",""
"SHILOH S/D","","","","64","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SHILOH UMC DAYCARE","","","","60","Ground water","4145 ODELL SCHOOL RD
CONCORD, NC 28027","","",""
"SHINE WATER CORPORATION","","","","447","Ground water","4466 HWY 13 S
SNOW HIIL, NC 28580","252-747-3414","",""
"SHOALS BAPTIST CHURCH","","","","25","Ground water","215 ROBERT OWENS ROAD
PINNACLE, NC 27403","","",""
"SHOALS ELEM SCHOOL","","","","329","Ground water","PO BOX 364
DOBSON, NC 27017","336-386-8381","",""
"SHOALS UNITED METHODIST CHURCH","","","","25","Ground water","843 CAUDLE RD
PINNACLE, NC 27043","336-325-2628","",""
"SHOALS VOLUNTEER FIRE DEPT.","","","","25","Ground water","4163 SHOALS RD
PINNACLE, NC 27043","336-325-2463","",""
"SHOOTING CREEK CAMPGROUND","","","","53","Ground water","2069 SOUTHWEST 40TH AVE
BELL, FL 32619","352-493-3487","",""
"SHOOTING CREEK MARKET","","","","25","Ground water","7381 HWY 64 EAST
HAYESVILLE, NC 28904","828-415-1525","",""
"SHOP N GO #39","","","","25","Ground water","4212 GLENDALE RD
KENLY, NC 27542","919-269-4700","",""
"SHOPS OF TYNECASTLE","","","","45","Ground water","4501 TYNECASTLE HWY #7
RCS PROPERTIES INC
BANNER ELK, NC 28604","828-898-6246","",""
"SHOPS ON THE GREEN","","","","25","Ground water","430 DEEER RUN
HIGHLANDS, NC 28741","828-526-3513","",""
"SHORT STOP #63","","","","50","Ground water","1007 ARSENAL AVE
FAYETTEVILLE, NC 28305","910-433-4490","",""
"SHORT TRIP","","","","100","Ground water","3634 CHICKENFOOT RD
HOPE MILLS, NC 28348-9833","910-425-0313","",""
"SIBELCO NORTH AMERICA-RED HILL PLANT","","","","97","Ground water","P.O. BOX 100
BAKERSVILLE, NC 28705","828-688-2169","",""
"SIBELCO NORTH AMERICA-SCHOOL HOUSE PLANT","","","","75","Ground water","P.O. BOX 588
SPRUCE PINE, NC 28777","828-765-4251","",""
"SIDBURY`S MHP","","","","101","Ground water","130 BROADVIEW LANE
HAMPSTEAD, NC 28443","910-270-3221","",""
"SIFFORD EXXON","","","","40","Ground water","6130 HWY 152 EAST
ROCKWELL, NC 28138","704-279-2125","",""
"SIGMONS GRILL","","","","50","Ground water","5898 N NC 16 HWY
CONOVER, NC 28613","828-256-8873","",""
"SILER CITY PENTECOSTAL HOLINESS","","","","155","Ground water","297 OAKLEY CHURCH RD
SILER CITY, NC 27344","919-775-6266","",""
"SILER CITY, CITY OF","","","","8,140","Surface water","PO BOX 769
ATTN TERRY GREEN
SILER CITY, NC 27344","919-742-2939","",""
"SILLS CREEK AME ZION CHURCH","","","","25","Ground water","3165 BRADSHAW RD
MOORESVILLE, NC 28115","704-633-0226","",""
"SILO RUN GOLF COURSE","","","","25","Ground water","4032 ROCKFORD RD
BOONEVILLE, NC 27011","336-367-3133","",""
"SILOAM BAPTIST CHURCH","","","","25","Ground water","630 CHESTER RD
WINSTON-SALEM, NC 27104","336-374-5279","",""
"SILOS FAMILY RESTAURANT","","","","25","Ground water","3219 OLD HWY 49
ASHEBORO, NC 27205","336-626-3629","",""
"SILVER BLUFF NURSING HOME","","","","404","Ground water","100 SILVER BLUFF DR
CANTON, NC 28716","828-648-2044","",""
"SILVER CREEK BAPTIST CH","","","","100","Ground water","3529 SILVER CREEK RD
MILL SPRING, NC 28756","828-894-8932","",""
"SILVER CREEK BAPTIST CHURCH","","","","30","Ground water","5145 FOREMAN ST
ATTN: KATHY & MIKE ROGERS
MORGANTON, NC 28655","","",""
"SILVER CREEK CAMPGROUND","","","","100","Ground water","3111 SILVER CREEK RD
MILL SPRING, NC 28756","828-894-2331","",""
"SILVER MAPLES ESTATES MHP","","","","484","Ground water","2812 PLANTATION RD
CONCORD, NC 28027","704-786-5577","",""
"SILVER SLIP","","","","89","Ground water","466 JACOBS BRANCH ROAD
FRANKLIN, NC 28734","","",""
"SILVERTON S/D","","","","152","Ground water","1000 WOODHURST DR
MONROE, NC 28110-7312","704-506-4255","",""
"SIMMONS HEIGHTS APARTMENTS","","","","35","Ground water","5306 CURLEW DRIVE
WILMINGTON, NC 28409","910-508-2960","",""
"SIMPLY SOUTHERN KITCHEN","","","","38","Ground water","PO BOX 1675
NAGS HEAD, NC 27959","252-441-2798","",""
"SIMS BAPTIST","","","","50","Ground water","5652 LLOYD RD
LUCAMA, NC 27851","","",""
"SIMS TOWN OF","","","","317","Ground water","PO BOX 161
SIMS, NC 27880","252-237-4226","",""
"SINGLE STOP #5","","","","150","Ground water","PO BOX 1369
CANTON, NC 28716","828-648-6617","",""
"SINGLETARY LAKE GROUP CMPGRD","","","","25","Ground water","6707 HWY 53 EAST
KELLY, NC 28448","910-669-2928","",""
"SISTERS` COVE WEST","","","","25","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SISTER`S COVE EAST","","","","28","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SIXTY-EIGHT PLACE AT OAK RIDGE","","","","75","Ground water","1284 WINDY RIDGE ROAD
CHAPEL HILL, NC 27517","919-545-0630","",""
"SKATE WORLD","","","","25","Ground water","6880 US HWY 421 NORTH
VILAS, NC 28692","828-297-3296","",""
"SKI COUNTRY","","","","150","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"SKI MOUNTAIN S/D","","","","380","Ground water","PO BOX 240908
CHARLOTTE, NC 28224","704-319-0500","",""
"SKYLAND DR WATER SYSTEM","","","","53","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SKYLINE ESTATES MH S/D","","","","170","Surface water purchased","PO BOX 643
SANFORD, NC 27330","919-770-9175","",""
"SKYLINE LODGE","","","","50","Ground water","905 BISCAYNE BLVD
DELAND, FL 32724","386-740-7355","",""
"SKYLINE VILLAGE INN/TAVERN","","","","50","Ground water","P O BOX 37
LITTLE SWITZERLAND, NC 28749","828-765-9394","",""
"SKYVIEW PARK","","","","158","Surface water purchased","PO BOX 1407
PISGAH FOREST, NC 28768","828-884-9772","",""
"SLEEPY CREEK MHP (WELLS 3,4,5)","","","","84","Ground water","PO BOX 1000
PITTSBORO, NC 27312","919-545-0635","",""
"SLEEPY HOLLOW ESTATES MHP","","","","240","Ground water","2833 NC HWY 87
GRAHAM, NC 27253","336-222-9378","",""
"SLOAN LAKE COMMUNITY CHURCH","","","","200","Ground water","119 HEILIG AVE
SALISBURY, NC 28144","704-857-3311","",""
"SLOAN PARK  NO 1","","","","25","Ground water","3541 OLD MOCKSVILLE RD
SALISBURY, NC 28144","704-637-1070","",""
"SLOAN PARK #4","","","","25","Ground water","3541 OLD MOCKSVILLE RD
SALISBURY, NC 28144","704-637-1070","",""
"SME INC USA","","","","40","Ground water","5949 CAROLINA BEACH RD
WILMINGTON, NC 28412","910-798-0500","",""
"SMITH BUILDING","","","","25","Ground water","560 NE 103 ST
MIAMI SHORES, FL 33138","786-286-8181","",""
"SMITHFIELD FRESH MEATS CORP - CLINTON","","","","1,650","Ground water","424 RAILROAD ST
CLINTON, NC 28328","910-299-3051","",""
"SMITHFIELD FRESH MEATS CORP - TAR HEEL","","","","4,589","Surface water purchased","PO BOX 99
ATTN ENVIORNMENTAL DEPT
TARHEEL, NC 28392-9307","910-862-5248","",""
"SMITHFIELD MOOSE LODGE","","","","100","Ground water","402 JR RD
SELMA, NC 27577","919-965-5207","",""
"SMITHFIELD SOUTH WATER DIST","","","","594","Surface water purchased","PO BOX 761
SMITHFIELD, NC 27577","919-934-2798","",""
"SMITHFIELD, TOWN OF","","","","12,900","Surface water","PO BOX 761
SMITHFIELD, NC 27577","919-934-2798","",""
"SMITHS GROCERY & GRILL","","","","75","Ground water","2288 PINE HALL RD
BELEWS CREEK, NC 27009","336-427-5087","",""
"SMOKE RIDGE ESTATES","","","","135","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SMOKETREE LODGE","","","","80","Ground water","PO BOX 1998
BANNER ELK, NC 28604","800-422-1880","",""
"SMOKEY MOUNTAIN ELEM SCHOOL","","","","520","Ground water","398 HOSPITAL RD
ATTN JACKSON CO BD OF ED
SYLVA, NC 28779","828-586-2311","",""
"SMOKY MTN COUNTRY CLUB ESTATES","","","","292","Ground water","1112 CONLEYS CREEK RD
WHITTIER, NC 28789","828-497-2772","",""
"SMOKY MTN RETREAT-EAGLE`S NEST","","","","250","Surface water purchased","PO BOX 1029
MAGGIE VALLEY SANITARY DISTRCT
MAGGIE VALLEY, NC 28751","828-926-0145","",""
"SMYRNA BAPTIST CHURCH","","","","50","Ground water","PO BOX 275
COLLETTESVILLE, NC 28611","","",""
"SMYRNA ELEM SCHOOL","","","","375","Ground water","107 SAFRIT DR
BEAUFORT, NC 28516","252-728-6115","",""
"SMYRNA PENTECOSTAL HOLINESS CHURCH","","","","200","Ground water","119 SCOTT DR
BEAUFORT, NC 28516","","",""
"SMYRNA UNITED METH CHURCH","","","","100","Ground water","203 SMYRNA CHURCH ROAD
ROBBINS, NC 27325","910-464-3188","",""
"SNACK & SODA #4","","","","25","Ground water","7212 BROWN SUMMIT RD
BROWN SUMMIT, NC 27214","336-656-7925","",""
"SNOW CAMP RAYGO MART","","","","25","Ground water","PO BOX 3277
BURLINGTON, NC 27215","336-578-0404","",""
"SNOW CREEK HEIGHTS WATER SYST","","","","130","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SNOW HILL BAPTIST CHURCH","","","","25","Ground water","1650 ZEPHYR ROAD
DOBSON, NC 27017","","",""
"SNOW HILL FOOD MART","","","","25","Ground water","PO BOX 1272
OLD FORT, NC 28762","828-756-8018","",""
"SNOW HILL UMC","","","","100","Ground water","1995 SNOW HILL CHURCH RD
DANBURY, NC 27016","","",""
"SNOW HILL WATER SYSTEM","","","","74","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SNOW HILL, TOWN OF","","","","2,657","Surface water purchased","201 NORTH GREEN STREET
SNOWHILL, NC 28580","252-747-3414","",""
"SNOWBIRD MOUNTAIN LODGE","","","","26","Ground water","4633 SANTEETLAH RD
ROBBINSVILLE, NC 28771","828-479-3433","",""
"SNOWHILL MISSIONARY BAPTIST CHURCH","","","","150","Ground water","581 TRESTLE RD
IVANHOE, NC 28447","910-532-2123","",""
"SNOWS CUT ESTUARINE ACCESS PRK","","","","25","Ground water","230 GOVERNMENT CENTER DR, STE 120
NEW HANOVER CO - PARKS AND REC
WILMINGTON, NC 28403","910-798-7565","",""
"SNUG HARBOR ON NELSON BAY","","","","108","Ground water","PO BOX 150
SEA LEVEL, NC 28577","252-225-4411","",""
"SNYDERS FARMS RESTAURANT","","","","25","Ground water","2880 BECKERDITE RD
SOPHIA, NC 27350","336-498-3571","",""
"SO MOUNTAIN CHRISTIAN CAMP CAFETERIA","","","","120","Ground water","1129 SOUTH MOUNTAIN RD
BOSTIC, NC 28018","828-245-3322","",""
"SOAPSTONE CHAPEL","","","","45","Ground water","12837 NORWOOD RD
RALEIGH, NC 27613","919-846-2212","",""
"SOAR INC","","","","50","Ground water","PO BOX 388
BALSAM, NC 28707","828-456-3435","",""
"SOCIAL PLAINS BAPTIST CHURCH","","","","40","Ground water","2805 HUNTERS RETREAT CT
ZEBULON, NC 27597","919-418-8619","",""
"SOLSTICE EAST- EDUCATION CENTER","","","","50","Ground water","530 UPPER FLAT CREEK RD
WEAVERVILLE, NC 28727","828-484-9928","",""
"SOLSTICE EAST- RETREAT CENTER","","","","75","Ground water","530 UPPER FLAT CREEK RD
WEAVERVILLE, NC 28727","828-484-9928","",""
"SOMERSET PLACE HISTORIC SITE","","","","54","Ground water","2572 LAKE SHORE RD
CRESWELL, NC 27928","252-797-4560","",""
"SONJAS GRILL","","","","35","Ground water","PO BOX 215
SUPPLY, NC 28462","910-754-5115","",""
"SONRISE FITNESS CENTER","","","","25","Ground water","55 ETOWAH PARK RD
ETOWAH, NC 28729","828-808-6109","",""
"SONYAS KIDZ DEPOT","","","","48","Ground water","507 NORTH 3RD STREET
MEBANE, NC 27302","336-227-2525","",""
"SOPHIA BAPTIST CHURCH","","","","25","Ground water","PO BOX 27
SOPHIA, NC 27350","336-498-7167","",""
"SOUL`S HARBOR TABERNACLE","","","","45","Ground water","271 CAMP ROTARY ROAD
GASTONIA, NC 28052","704-861-1402","",""
"SOURWOOD INN","","","","40","Ground water","810 ELK MT SCENIC HWY
ASHEVILLE, NC 28804","828-255-0960","",""
"SOUTH ATLANTIC GALVANIZING","","","","35","Ground water","7912 MANOR ROCK RD
C/O WATER SOLUTIONS LLC
SILER CITY, NC 27344","919-742-7410","",""
"SOUTH CAMDEN WTR & SWR DISTRCT","","","","5,133","Ground water","103 WATER PLANT ROAD
CAMDEN, NC 27921","252-335-1216","",""
"SOUTH ELEMENTARY SCHOOL","","","","354","Ground water","PO BOX 160
YANCEYVILLE, NC 27379","336-694-4116","",""
"SOUTH ESTATOE BAPTIST CHURCH","","","","80","Ground water","32 SOUTH ESTATOE BAPT CH RD
BURNSVILLE, NC 28714","","",""
"SOUTH FOREST S/D","","","","84","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SOUTH FORK FRIENDS CHURCH","","","","100","Ground water","1862 MOON LINDLEY RD
SNOW CAMP, NC 27349","","",""
"SOUTH GRANVILLE WTR&SEWER AUTHORITY","","","","19,216","Surface water","415 CENTRAL AVENUE STE B
BUTNER, NC 27509","919-575-3367","",""
"SOUTH GREENE WTR CORP","","","","2,634","Surface water purchased","P O BOX 543
SNOW HILL, NC 28580","252-747-5720","",""
"SOUTH GROVE SUBDIVISION","","","","38","Ground water","160 NE MAYNARD RD
OMEGA ASSOC MGMT INC, SUITE 160
CARY, NC 27513","919-461-0102","",""
"SOUTH HILL ESTATE III","","","","102","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SOUTH HILL S/D","","","","25","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SOUTH LAKE S/D","","","","106","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SOUTH MILLS WATER ASSOC","","","","5,300","Ground water","PO BOX 279
SOUTH MILLS, NC 27976","252-771-5260","",""
"SOUTH MOUNTAIN CHILDRENS HOME","","","","80","Ground water","7330 MYRTLE DR
NEBO, NC 28761","828-584-1105","",""
"SOUTH MOUNTAIN CHRISTIAN CAMP-OFFICE","","","","50","Ground water","1129 SOUTH MOUNTAIN RD
BOSTIC, NC 28018","828-245-3322","",""
"SOUTH MOUNTAIN S/D","","","","234","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SOUTH MTN BAPT CAMP-BYRD CNT","","","","40","Ground water","3558 BAPTIST CAMP RD
CONNELLY SPRINGS, NC 28612","828-437-8788","",""
"SOUTH MTN BAPT CAMP-CABINS","","","","25","Ground water","3558 BAPTIST CAMP RD
CONNELLY SPRINGS, NC 28612","828-437-8788","",""
"SOUTH MTN BAPT CAMP-LINEBERGER","","","","150","Ground water","3558 BAPTIST CAMP RD
CONNELLY SPRINGS, NC 28612","828-437-8788","",""
"SOUTH MTN ST PRK-CAR CAMPGROUND","","","","50","Ground water","3001 S MOUNTAIN STATE PARK AVE
CONNELLY SPRINGS, NC 28612","828-433-4772","",""
"SOUTH MTN ST PRK-EQUESTRAIN CAMPGROUND","","","","100","Ground water","3001 S MOUNTAIN STATE PARK AVE
CONNELLY SPRINGS, NC 28612","828-433-4772","",""
"SOUTH MTN ST PRK-JACOB FORK BATH HOUSE","","","","100","Ground water","3001 S MOUNTAIN STATE PARK AVE
CONNELLY SPRINGS, NC 28612","828-433-4772","",""
"SOUTH MTN ST PRK-MAINT OFFICE","","","","100","Ground water","3001 S MOUNTAIN STATE PARK AVE
CONNELLY SPRINGS, NC 28612","828-433-4772","",""
"SOUTH MTN ST PRK-VISITORS CENTER","","","","25","Ground water","3001 S MOUNTAIN STATE PARK AVE
CONNELLY SPRINGS, NC 28612","828-433-4772","",""
"SOUTH OAK RIDGE BAPTIST CHURCH","","","","25","Ground water","1332 LONE HICKORY ROAD
YADKINVILLE, NC 27055","336-463-2596","",""
"SOUTH OAKS CENTER","","","","25","Ground water","537 UPLAND DRIVE
WILMINGTON, NC 28411","910-520-4655","",""
"SOUTH PLANTATION S/D","","","","350","Surface water purchased","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SOUTH POINT BAPT CH-FAMILY MINISTRY CTR","","","","500","Ground water","124 HORSLEY AVE
BELMONT, NC 28012","704-825-9516","",""
"SOUTH POINT BAPTIST CHURCH","","","","500","Ground water","124 HORSLEY AVE
BELMONT, NC 28012","704-825-9516","",""
"SOUTH POINT LANDING","","","","69","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SOUTH POINT SD","","","","124","Ground water purchased","PO BOX 1829
% CUMBERLAND CO PUBLIC UTILITIES
FAYETTEVILLE, NC 28302","910-678-7637","",""
"SOUTH RIDGE MHP","","","","115","Ground water","343 SAND PIPER LANE
HAMPSTEAD, NC 28443","","",""
"SOUTH RIDGE S/D","","","","135","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SOUTH RIVER PARK","","","","75","Ground water","521 HEDRICK STREET
ATTN: CARTERET CO UTILITIES
BEAUFORT, NC 28516","252-728-8595","",""
"SOUTH RIVER UMC","","","","25","Ground water","3855 SOUTH RIVER CHURCH RD
WOODLEAF, NC 27054","","",""
"SOUTH SAXAPAHAW HOA","","","","108","Ground water","PO BOX 217
SAXAPHAHAW, NC 27340","","",""
"SOUTH SIDE BAPTIST CHURCH","","","","25","Ground water","PO BOX 1501
VASS, NC 28394","","",""
"SOUTH STOKES HIGH SCHOOL","","","","615","Ground water","PO BOX 50
DANBURY, NC 27016","336-591-4282","",""
"SOUTH TOE ELEM SCHOOL","","","","118","Ground water","PO BOX 190
BURNSVILLE, NC 28714","828-284-2356","",""
"SOUTH TOPSAIL ELEM SCHOOL","","","","664","Ground water","PO BOX 670
ENVIROLINK
BAILEY, NC 27807","252-235-4900","",""
"SOUTHALL SWIM & RAQUET CLUB","","","","200","Ground water","PO BOX 58758
RALEIGH, NC 27658","","",""
"SOUTHBOURNE/ROLLING HILLS S/D","","","","147","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SOUTHEAST CATAWBA COUNTY","","","","2,309","Surface water purchased","PO BOX 398
HICKORY, NC 28603","828-323-7427","",""
"SOUTHERN HIGH SCHOOL","","","","1,206","Ground water","3920 NACO ROAD
GREENSBORO, NC 27401","336-370-2384","",""
"SOUTHERN INDUSTRIAL CONSTRUCTORS","","","","25","Ground water","136 ROYMAC DR
WILMINGTON, NC 28401","910-762-2482","",""
"SOUTHERN KITCHEN","","","","60","Ground water","1015 W CATAWBA AVE
MT HOLLY, NC 28120","","",""
"SOUTHERN LIVING OF LOUISBURG","","","","80","Ground water","361 LEONARD RD
LOUISBURG, NC 27549","","",""
"SOUTHERN MEADOWS S/D","","","","106","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SOUTHERN MIDDLE & HIGH SCHOOLS","","","","2,083","Ground water","307 PRISON CAMP ROAD
GRAHAM, NC 27253","336-570-6482","",""
"SOUTHERN MIDDLE SCHOOL","","","","846","Ground water","3920 NACO ROAD
GREENSBORO, NC 27401","336-370-2384","",""
"SOUTHERN NASH SR HIGH SCHOOL","","","","350","Ground water","930 EASTERN AVE
NASHVILLE, NC 27856","252-451-8507","",""
"SOUTHERN OUTER BANKS WTR SYST","","","","7,767","Ground water","734 OCEAN TRAIL
COROLLA, NC 27927","252-453-2370","",""
"SOUTHERN PINES, TOWN OF","","","","17,379","Surface water","261 THUNDER RD
PINEBLUFF, NC 28373","910-281-4719","",""
"SOUTHERN PRIMARY SCHOOL","","","","357","Ground water","3920 NACO ROAD
GREENSBORO, NC 27401","336-370-2384","",""
"SOUTHERN PRODUCTS & SILICA CO","","","","25","Ground water","PO DRAWER 189
HOFFMAN, NC 28347","910-281-3189","",""
"SOUTHERN TABLE RESTAURANT","","","","35","Ground water","1899 MANLEY SMITH RD
NAKINA, NC 28455","910-640-1404","",""
"SOUTHERN TRACE S/D","","","","460","Ground water","3191 GELA RD
OXFORD, NC 27565","919-691-1304","",""
"SOUTHERN WAYNE SANITARY DIST","","","","6,679","Ground water","1370 OLD GRANTHAM ROAD
GOLDSBORO, NC 27530","919-731-2520","",""
"SOUTHERN WOODS S/D","","","","66","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SOUTHERNAIRE MOTEL","","","","70","Ground water","2990 CHIMNEY ROCK ROAD
HENDERSONVILLE, NC 28792","828-685-7711","",""
"SOUTHFORK S/D","","","","46","Ground water","4163 SINCLAIR ST
DENVER, NC 28037","704-489-9404","",""
"SOUTHFORT S/D","","","","123","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SOUTHGATE MHP","","","","94","Ground water purchased","112 SCIENTIFIC LN
JACKSONVILLE, NC 28540","910-455-3743","",""
"SOUTHGATE S/D","","","","157","Surface water purchased","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
"SOUTHHILLS SOUTHWOODS SD","","","","707","Ground water","202 MACKENAN COURT
CARY, NC 27511","919-467-8712","",""
